1607269381 96 0 0 0 0 0
1607272460 119 0 0 0 0 0
1607287566 132 0 0 0 0 0
1607287609 136 0 0 0 0 0
1607289622 136 0 445 0 0 0
1607295126 136 0 445 0 0 0
1607295213 136 0 445 0 0 0
1607302007 136 0 561 0 0 0
1607353341 395 0 561 0 0 0
1607366629 434 0 561 0 0 0
1607368599 454 0 561 0 0 0
1607373785 606 0 561 0 0 0
1607376693 606 0 561 186 0 0
1607380828 606 0 561 348 0 0
1607417535 606 453 561 348 0 0
1607421624 606 564 561 348 0 0
1607423175 606 572 561 348 0 0
1607424996 606 698 561 348 0 0
1607425411 606 1069 561 348 0 0
1607425912 606 1069 561 348 0 0
1607426887 606 1069 561 348 0 0
1607428809 606 1069 561 348 0 0
1607428828 606 1069 561 348 0 0
1607429250 606 1069 561 348 0 0
1607430350 606 1069 1082 348 0 0
1607430506 606 1069 1082 348 0 0
1607430593 606 1069 1082 348 0 0
1607433441 606 1069 1120 348 0 0
1607435888 606 1069 1127 348 0 0
1607436136 610 1069 1127 348 0 0
1607436321 610 1069 1127 348 0 0
1607436339 616 1069 1127 348 0 0
1607439170 616 1069 1127 522 0 0
1607440435 616 1069 1127 533 0 0
1607441240 770 1069 1127 533 0 0
1607441436 770 1069 1127 533 0 0
1607442168 774 1069 1127 533 0 0
1607442971 775 1069 1127 533 0 0
1607451220 775 1069 1172 533 0 0
1607453506 775 1070 1172 533 0 0
1607453570 775 1070 1172 533 0 0
1607453900 775 1070 1172 551 0 0
1607453908 775 1070 1172 551 0 0
1607454066 775 1070 1172 553 0 0
1607458249 775 1070 1172 553 0 0
1607458458 775 1624 1172 553 0 0
