1607269381 1 0 0 0 0 0
1607272460 2 0 0 0 0 0
1607287566 3 0 0 0 0 0
1607287609 4 0 0 0 0 0
1607289622 4 0 1 0 0 0
1607295126 4 1 1 0 0 0
1607295213 4 1 2 0 0 0
1607302007 4 1 3 0 0 0
1607353341 5 1 3 0 0 0
1607366629 6 1 3 0 0 0
1607368599 7 1 3 0 0 0
1607373785 8 1 3 0 0 0
1607376693 8 1 3 1 0 0
1607380828 8 1 3 2 0 0
1607417535 8 2 3 2 0 0
1607421624 8 3 3 2 0 0
1607423175 8 4 3 2 0 0
1607424996 8 5 3 2 0 0
1607425411 8 6 3 2 0 0
1607425912 8 6 3 2 0 1
1607426887 9 6 3 2 0 1
1607428809 9 6 3 2 1 1
1607428828 9 6 3 2 2 1
1607429250 10 6 3 2 2 1
1607430350 10 6 4 2 2 1
1607430506 10 6 5 2 2 1
1607430593 10 6 6 2 2 1
1607433441 10 6 7 2 2 1
1607435888 10 6 8 2 2 1
1607436136 11 6 8 2 2 1
1607436321 12 6 8 2 2 1
1607436339 13 6 8 2 2 1
1607439170 13 6 8 3 2 1
1607440435 13 6 8 4 2 1
1607441240 14 6 8 4 2 1
1607441436 15 6 8 4 2 1
1607442168 16 6 8 4 2 1
1607442971 17 6 8 4 2 1
1607451220 17 6 9 4 2 1
1607453506 17 7 9 4 2 1
1607453570 17 7 9 4 2 2
1607453900 17 7 9 5 2 2
1607453908 17 7 9 6 2 2
1607454066 17 7 9 7 2 2
1607458249 17 8 9 7 2 2
1607458458 17 9 9 7 2 2
